run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_post_peak,gate_spike_mean,gate_spike_peak,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
31,72,0.5995023250579834,0.6197164058685303,0.6206187605857849,0.6584155559539795,0.8285265564918518,0.7905019521713257,0.17613323226733252,0.06844143980164977,0.01555759181306007,0.005949679434986865,-0.10769179246568275,-0.009607912378073204,0.0,0.0,0.1804,0.1532,0.1732,-0.027200000000000002,-0.007200000000000012,-0.007200000000000012,0.13981,0.4796,0.06432000000000004,0.20292,0.26724000000000003,160.32089233398438,135.28094482421875,123.69253540039062,0.6070343030829353,0.8823273990447242,0.8900646678424456,0.1188671886920929,0.1404,0.294,0.28900400000000004
32,73,0.5983437299728394,0.6150804758071899,0.6210812330245972,0.6623603105545044,0.8170907497406006,0.7964324355125427,0.08787001834825345,0.025881811848068578,0.011557851029883472,0.001908808225041794,-0.06198820650018487,-0.009649042804841678,0.0,0.0,0.2684,0.20596,0.2616,-0.06244000000000002,-0.006800000000000028,-0.006800000000000028,0.15132400000000001,0.5252,0.035800000000000026,0.19196,0.22776000000000002,162.1902618408203,139.43096923828125,114.0,0.581858407079646,0.8482300884955752,0.9420560747663551,0.12054921686649323,0.2736,0.3088,0.247778
33,74,0.5999187231063843,0.6173750162124634,0.6206781268119812,0.6709969639778137,0.8211234211921692,0.7928627729415894,0.07991594472379641,0.047885166717696305,0.015348064348800686,0.0032450464265558394,-0.03203077800610011,-0.012103017922244847,0.0,0.0,0.23279999999999998,0.19712000000000002,0.2356,-0.03567999999999996,0.0028000000000000247,0.0028000000000000247,0.149974,0.5128,0.01047999999999999,0.18452,0.19499999999999998,161.22317504882812,139.6071014404297,119.17778015136719,0.6442924326635314,0.8854211201368106,0.9123456790123456,0.12061718851327896,0.2064,0.2732,0.256904
34,75,0.6007968783378601,0.6218648552894592,0.6238882541656494,0.6631352305412292,0.8268933296203613,0.8005359172821045,0.21816708705961013,0.05800180301914882,0.012727553438766956,0.0015825288811520811,-0.16016528404046132,-0.011145024557614874,0.0,0.0,0.21656,0.17904,0.21,-0.03752,-0.00656000000000001,-0.00656000000000001,0.14884799999999998,0.4764,0.026599999999999985,0.19288,0.21947999999999998,162.61203002929688,140.689453125,116.25174713134766,0.6353806228373703,0.8719723183391004,0.9273255813953488,0.12833203375339508,0.1836,0.228,0.30059
35,76,0.6001929640769958,0.6207476854324341,0.6198554635047913,0.6608156561851501,0.8286346793174744,0.787234902381897,0.08947003173923444,0.04247448413955578,0.010951768648026891,0.0027259051476996804,-0.04699554759967866,-0.00822586350032721,0.0,0.0,0.20728,0.17964000000000002,0.2028,-0.02763999999999997,-0.004479999999999984,-0.004479999999999984,0.14149599999999998,0.504,0.06864000000000003,0.28676,0.35540000000000005,158.6967315673828,133.6233367919922,123.53488159179688,0.6312997347480106,0.883289124668435,0.8866279069767442,0.11763593554496765,0.136,0.2944,0.302506
36,77,0.5994828343391418,0.6186515688896179,0.6222007870674133,0.6574522256851196,0.8193322420120239,0.791580080986023,0.0952925837829395,0.03588266536835072,0.020452594862805238,0.002650507039486481,-0.059409918414588786,-0.017802087823318758,0.0,0.0,0.24168000000000003,0.19436000000000003,0.23,-0.04732,-0.011680000000000024,-0.011680000000000024,0.14790599999999998,0.5064,-0.07543999999999998,0.2408,0.16536,166.93356323242188,146.67303466796875,118.17620086669922,0.5861919235779418,0.827181936604429,0.9110340843443097,0.12570233643054962,0.1268,0.2356,0.271944
37,78,0.5978687405586243,0.6127273440361023,0.6182226538658142,0.6637884974479675,0.8075704574584961,0.7866982221603394,0.11675162973086689,0.03769117316105766,0.016003939350436844,0.0020416890037782886,-0.07906045656980923,-0.013962250346658555,0.0,0.0,0.27671999999999997,0.21284,0.2492,-0.06387999999999996,-0.02751999999999996,-0.02751999999999996,0.148612,0.5212,0.022280000000000022,0.16319999999999998,0.18548,166.6310272216797,146.2476348876953,117.20626068115234,0.5539016689219666,0.7983761840324763,0.9281767955801105,0.11274765431880951,0.3076,0.3812,0.22127
38,79,0.6004953384399414,0.621806263923645,0.6212382912635803,0.6649724841117859,0.8338783383369446,0.7966046929359436,0.0891088164908583,0.039003854179554404,0.010890785307611206,0.0006268547860503,-0.0501049623113039,-0.010263930521560907,0.0,0.0,0.23612000000000002,0.18983999999999998,0.2224,-0.04628000000000004,-0.013720000000000038,-0.013720000000000038,0.147674,0.4968,0.062319999999999987,0.33764,0.39996,158.8842315673828,131.14007568359375,115.53087615966797,0.62129916040654,0.8851082633672117,0.9114160948222083,0.12031406164169312,0.1836,0.2708,0.30829799999999996
39,80,0.5985000133514404,0.6158343553543091,0.6157882809638977,0.663486123085022,0.8226824402809143,0.7812538146972656,0.08383899463207442,0.034583446957124384,0.010367412143530623,0.0018645130469704535,-0.04925554767495004,-0.008502899096560169,0.0,0.0,0.24627999999999997,0.21176000000000003,0.2476,-0.03451999999999994,0.0013200000000000156,0.0013200000000000156,0.145842,0.502,0.033639999999999975,0.19460000000000002,0.22824,162.2746124267578,139.527587890625,122.14649200439453,0.5832229580573951,0.8467991169977925,0.8919925512104283,0.10483984649181366,0.23,0.4304,0.24784399999999998
40,81,0.6004781126976013,0.6216250061988831,0.6189616918563843,0.6646737456321716,0.8322111368179321,0.7876330614089966,0.07478353365867174,0.02774133105625385,0.011145271351013218,0.0023493999040001346,-0.04704220260241789,-0.008795871447013083,0.0,0.0,0.20835999999999996,0.1836,0.2,-0.02475999999999995,-0.00835999999999995,-0.00835999999999995,0.136246,0.5124,0.045999999999999985,0.27287999999999996,0.31887999999999994,160.4357452392578,135.40199279785156,122.23031616210938,0.6321938554738209,0.8801384681955863,0.8904677323860273,0.11323437839746475,0.174,0.3556,0.30450200000000005
41,82,0.6000312566757202,0.6199031472206116,0.6212351322174072,0.6633847951889038,0.8285280466079712,0.7930570244789124,0.07573912295770048,0.03789729525041933,0.008308968084427375,0.005530115881228653,-0.03784182770728115,-0.002778852203198722,0.0,0.0,0.24115999999999999,0.196,0.2328,-0.04515999999999998,-0.008359999999999979,-0.008359999999999979,0.150544,0.4956,0.04052,0.3122,0.35272,158.70565795898438,131.78305053710938,118.708984375,0.611304347826087,0.8852173913043478,0.9149700598802395,0.12277265638113022,0.1708,0.2504,0.28972200000000004
42,83,0.5996265411376953,0.6191453337669373,0.624343752861023,0.6617071032524109,0.8236216902732849,0.7994793057441711,0.12160451222606047,0.0717511607357097,0.00854522876980455,0.003796566552612628,-0.04985335149035078,-0.004748662217191922,0.0,0.0,0.19535999999999998,0.18152,0.21,-0.013839999999999991,0.014640000000000014,0.014640000000000014,0.14889599999999997,0.5096,0.045999999999999985,0.27224,0.31823999999999997,160.99472045898438,135.572998046875,117.79011535644531,0.5958663148636764,0.8733509234828496,0.9302325581395349,0.13020703196525574,0.1936,0.2012,0.290418
